Data,Casa,Fora,gc,gj,dffd,Fase
11/07/2001,Equador,Chile,1,4,2001,Grupo A
11/07/2001,Colombia,Venezuela,2,0,2001,Grupo A
14/07/2001,Chile,Venezuela,1,0,2001,Grupo A
14/07/2001,Colombia,Equador,1,0,2001,Grupo A
17/07/2001,Equador,Venezuela,4,0,2001,Grupo A
17/07/2001,Colombia,Chile,2,0,2001,Grupo A
12/07/2001,Peru,Paraguai,3,3,2001,Grupo B
12/07/2001,Brasil,Mexico,0,1,2001,Grupo B
15/07/2001,Brasil,Peru,2,0,2001,Grupo B
15/07/2001,Paraguai,Mexico,0,0,2001,Grupo B
18/07/2001,Peru,Mexico,1,0,2001,Grupo B
18/07/2001,Brasil,Paraguai,3,1,2001,Grupo B
13/07/2001,Bolivia,Uruguai,0,1,2001,Grupo C
13/07/2001,Honduras,Costa Rica,0,1,2001,Grupo C
16/07/2001,Uruguai,Costa Rica,1,1,2001,Grupo C
16/07/2001,Honduras,Bolivia,2,0,2001,Grupo C
19/07/2001,Bolivia,Costa Rica,0,4,2001,Grupo C
19/07/2001,Honduras,Uruguai,1,0,2001,Grupo C
22/07/2001,Chile,Mexico,0,2,2001,Quartas
22/07/2001,Costa Rica,Uruguai,1,2,2001,Quartas
23/07/2001,Colombia,Peru,3,0,2001,Quartas
23/07/2001,Honduras,Brasil,2,0,2001,Quartas
25/07/2001,Mexico,Uruguai,2,1,2001,Semi
26/07/2001,Colombia,Honduras,2,0,2001,Semi
29/07/2001,Uruguai,Honduras,2,2,2001,Terceiro
29/07/2001,Colombia,Mexico,1,0,2001,Final
06/07/2004,Venezuela,Colombia,0,1,2004,Grupo A
06/07/2004,Peru,Bolivia,2,2,2004,Grupo A
09/07/2004,Colombia,Bolivia,1,0,2004,Grupo A
09/07/2004,Peru,Venezuela,3,1,2004,Grupo A
12/07/2004,Venezuela,Bolivia,1,1,2004,Grupo A
12/07/2004,Peru,Colombia,2,2,2004,Grupo A
07/07/2004,Mexico,Uruguai,2,2,2004,Grupo B
07/07/2004,Argentina,Equador,6,1,2004,Grupo B
10/07/2004,Uruguai,Equador,2,1,2004,Grupo B
10/07/2004,Argentina,Mexico,0,1,2004,Grupo B
13/07/2004,Mexico,Equador,2,1,2004,Grupo B
13/07/2004,Argentina,Uruguai,4,2,2004,Grupo B
08/07/2004,Costa Rica,Paraguai,0,1,2004,Grupo C
08/07/2004,Brasil,Chile,1,0,2004,Grupo C
11/07/2004,Brasil,Costa Rica,4,1,2004,Grupo C
11/07/2004,Paraguai,Chile,1,1,2004,Grupo C
14/07/2004,Costa Rica,Chile,2,1,2004,Grupo C
14/07/2004,Brasil,Paraguai,1,2,2004,Grupo C
17/07/2004,Peru,Argentina,0,1,2004,Quartas
17/07/2004,Colombia,Costa Rica,2,0,2004,Quartas
18/07/2004,Paraguai,Uruguai,1,3,2004,Quartas
18/07/2004,Mexico,Brasil,0,4,2004,Quartas
20/07/2004,Argentina,Colombia,3,0,2004,Semi
21/07/2004,Brasil,Uruguai,1,1,2004,Semi
24/07/2004,Colombia,Uruguai,1,2,2004,Terceiro
25/07/2004,Argentina,Brasil,2,2,2004,Final
26/06/2007,Uruguai,Peru,0,3,2007,Grupo A
26/06/2007,Venezuela,Bolivia,2,2,2007,Grupo A
30/06/2007,Bolivia,Uruguai,0,1,2007,Grupo A
30/06/2007,Venezuela,Peru,2,0,2007,Grupo A
03/07/2007,Peru,Bolivia,2,2,2007,Grupo A
03/07/2007,Venezuela,Uruguai,0,0,2007,Grupo A
27/06/2007,Equador,Chile,2,3,2007,Grupo B
27/06/2007,Brasil,Mexico,0,2,2007,Grupo B
01/07/2007,Brasil,Chile,3,0,2007,Grupo B
01/07/2007,Mexico,Equador,2,1,2007,Grupo B
04/07/2007,Mexico,Chile,0,0,2007,Grupo B
04/07/2007,Brasil,Equador,1,0,2007,Grupo B
28/06/2007,Paraguai,Colombia,5,0,2007,Grupo C
28/06/2007,Argentina,EUA,4,1,2007,Grupo C
02/07/2007,EUA,Paraguai,1,3,2007,Grupo C
02/07/2007,Argentina,Colombia,4,2,2007,Grupo C
05/07/2007,Colombia,EUA,1,0,2007,Grupo C
05/07/2007,Argentina,Paraguai,1,0,2007,Grupo C
07/07/2007,Venezuela,Uruguai,1,4,2007,Quartas
07/07/2007,Chile,Brasil,1,6,2007,Quartas
08/07/2007,Mexico,Paraguai,6,0,2007,Quartas
08/07/2007,Argentina,Peru,4,0,2007,Quartas
10/07/2007,Uruguai,Brasil,2,2,2007,Semi
11/07/2007,Mexico,Argentina,0,3,2007,Semi
14/07/2007,Uruguai,Mexico,1,3,2007,Terceiro
15/07/2007,Brasil,Argentina,3,0,2007,Final
01/07/2011,Argentina,Bolivia,1,1,2011,Grupo A
02/07/2011,Colombia,Costa Rica,1,0,2011,Grupo A
06/07/2011,Argentina,Colombia,0,0,2011,Grupo A
07/07/2011,Bolivia,Costa Rica,0,2,2011,Grupo A
10/07/2011,Colombia,Bolivia,2,0,2011,Grupo A
11/07/2011,Argentina,Costa Rica,3,0,2011,Grupo A
03/07/2011,Brasil,Venezuela,0,0,2011,Grupo B
03/07/2011,Paraguai,Equador,0,0,2011,Grupo B
09/07/2011,Brasil,Paraguai,2,2,2011,Grupo B
09/07/2011,Venezuela,Equador,1,0,2011,Grupo B
13/07/2011,Paraguai,Venezuela,3,3,2011,Grupo B
13/07/2011,Brasil,Equador,4,2,2011,Grupo B
04/07/2011,Uruguai,Peru,1,1,2011,Grupo C
04/07/2011,Chile,Mexico,2,1,2011,Grupo C
08/07/2011,Uruguai,Chile,1,1,2011,Grupo C
08/07/2011,Peru,Mexico,1,0,2011,Grupo C
12/07/2011,Chile,Peru,1,0,2011,Grupo C
12/07/2011,Uruguai,Mexico,1,0,2011,Grupo C
16/07/2011,Colombia,Peru,0,2,2011,Quartas
16/07/2011,Argentina,Uruguai,1,1,2011,Quartas
17/07/2011,Brasil,Paraguai,0,0,2011,Quartas
17/07/2011,Chile,Venezuela,1,2,2011,Quartas
19/07/2011,Peru,Uruguai,0,2,2011,Semi
20/07/2011,Paraguai,Venezuela,0,0,2011,Semi
23/07/2011,Peru,Venezuela,4,1,2011,Terceiro
24/07/2011,Uruguai,Paraguai,3,0,2011,Final
11/06/2015,Chile,Equador,2,0,2015,Grupo A
