Risk Category,Risk Sub-Category,Discovery Date,Occurrence Start Date,Year,Net Loss,Recovery Amount,Estimated Gross Loss,Recovery Amount (percent)
"Clients, Products and Business Practices",Product Flaws,41275,41276,2013,296555.27,83035.4756,291100,28
"Execution, Delivery and Process Management",Trade Counterparties,41277,41279,2013,87472.47,27116.4657,98400,31
"Clients, Products and Business Practices",Advisory Activities,41278,41280,2013,229395.38,59642.7988,230700,26
"Clients, Products and Business Practices",Product Flaws,41282,41285,2013,137925.29,34481.3225,137400,25
"Execution, Delivery and Process Management",Reporting and Disclosure,41286,41288,2013,292160.41,90569.7271,288300,31
"Clients, Products and Business Practices",Advisory Activities,41290,41293,2013,321307.5,70687.65,321700,22
External Fraud,Theft and Fraud,41293,41296,2013,255901.68,53739.3528,257500,21
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",41295,41297,2013,543621.98,184831.4732,546600,34
Employment Practices and Workplace Safety,Diversity and Discrimination,41303,41304,2013,191050.98,61136.3136,197000,32
External Fraud,Systems Security,41304,41305,2013,3028.96,1060.136,3000,35
External Fraud,Theft and Fraud,41305,41306,2013,143950.45,40306.126,142300,28
Business Disruption and System Failures,Infrastructure and Systems,41313,41316,2013,50246.97,18591.3789,60200,37
External Fraud,Theft and Fraud,41315,41316,2013,22925.54,6877.662,27000,30
External Fraud,Theft and Fraud,41319,41321,2013,253467.82,68436.3114,247700,27
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",41320,41321,2013,433730.21,104095.2504,436200,24
External Fraud,Systems Security,41321,41322,2013,190185.19,45644.4456,190400,24
External Fraud,Theft and Fraud,41322,41323,2013,12122.6,2545.746,24700,21
"Execution, Delivery and Process Management",Vendors and Suppliers,41323,41326,2013,36183.73,5789.3968,42800,16
Employment Practices and Workplace Safety,Employee Relations,41323,41324,2013,228424.87,86801.4506,238300,38
"Execution, Delivery and Process Management",Transaction/Data Management,41328,41331,2013,600346.33,174100.4357,610400,29
"Execution, Delivery and Process Management",Customer/Client Account Management,41330,41331,2013,142392.62,54109.1956,149000,38
External Fraud,Theft and Fraud,41330,41332,2013,5868.33,2288.6487,5800,39
External Fraud,Theft and Fraud,41332,41334,2013,187961.18,75184.472,186500,40
Employment Practices and Workplace Safety,Safe Environment,41333,41336,2013,46489.64,11157.5136,47400,24
Internal Fraud,Unauthorized Activity,41340,41341,2013,279195.57,89342.5824,293300,32
"Execution, Delivery and Process Management",Customer Intake and Documentation,41340,41341,2013,95360.08,28608.024,109100,30
External Fraud,Systems Security,41341,41342,2013,35696.61,8924.1525,38600,25
External Fraud,Theft and Fraud,41345,41347,2013,198846.87,75561.8106,203000,38
"Execution, Delivery and Process Management",Trade Counterparties,41346,41347,2013,161417.86,43582.8222,174500,27
External Fraud,Theft and Fraud,41346,41349,2013,143264.83,42979.449,155000,30
"Execution, Delivery and Process Management",Reporting and Disclosure,41347,41350,2013,257581.29,74698.5741,264300,29
"Execution, Delivery and Process Management",Trade Counterparties,41350,41351,2013,55069.05,17622.096,64100,32
"Execution, Delivery and Process Management",Reporting and Disclosure,41351,41354,2013,213926.29,70595.6757,217100,33
External Fraud,Theft and Fraud,41354,41356,2013,108793.96,38077.886,116800,35
Internal Fraud,Theft and Fraud,41357,41360,2013,177846.63,48018.5901,177400,27
Business Disruption and System Failures,Infrastructure and Systems,41360,41363,2013,831009.04,182821.9888,830700,22
"Execution, Delivery and Process Management",Reporting and Disclosure,41363,41366,2013,1135.18,385.9612,17200,34
"Execution, Delivery and Process Management",Customer Intake and Documentation,41364,41367,2013,272963.17,73700.0559,279600,27
"Execution, Delivery and Process Management",Reporting and Disclosure,41379,41382,2013,2167.12,520.1088,3300,24
"Execution, Delivery and Process Management",Trade Counterparties,41380,41381,2013,513815.64,200388.0996,515400,39
External Fraud,Systems Security,41387,41388,2013,161360.77,32272.154,172900,20
"Execution, Delivery and Process Management",Vendors and Suppliers,41390,41391,2013,179915.56,28786.4896,173100,16
"Execution, Delivery and Process Management",Customer/Client Account Management,41393,41394,2013,147547.25,47215.12,152900,32
Employment Practices and Workplace Safety,Diversity and Discrimination,41393,41395,2013,262531.3,99761.894,265900,38
"Clients, Products and Business Practices",Improper Business or Market Practices,41399,41402,2013,64895.94,14926.0662,76600,23
"Execution, Delivery and Process Management",Customer Intake and Documentation,41401,41404,2013,148454.47,53443.6092,153700,36
"Execution, Delivery and Process Management",Transaction/Data Management,41402,41403,2013,135955.59,31269.7857,136600,23
"Execution, Delivery and Process Management",Trade Counterparties,41404,41405,2013,225086.88,47268.2448,232200,21
Employment Practices and Workplace Safety,Employee Relations,41405,41408,2013,296737.95,68249.7285,307300,23
"Execution, Delivery and Process Management",Reporting and Disclosure,41411,41413,2013,126148.66,40367.5712,119100,32
External Fraud,Theft and Fraud,41412,41415,2013,68519.28,27407.712,78700,40
External Fraud,Theft and Fraud,41412,41415,2013,70640.15,17660.0375,72800,25
External Fraud,Theft and Fraud,41414,41417,2013,65956.71,19127.4459,62200,29
"Execution, Delivery and Process Management",Trade Counterparties,41415,41416,2013,13081.46,4186.0672,20700,32
External Fraud,Systems Security,41421,41422,2013,144115.13,36028.7825,157600,25
"Execution, Delivery and Process Management",Reporting and Disclosure,41421,41423,2013,721806.24,187669.6224,731200,26
External Fraud,Theft and Fraud,41424,41426,2013,3650.85,1058.7465,3600,29
Business Disruption and System Failures,Infrastructure and Systems,41428,41429,2013,116808.68,36210.6908,110000,31
External Fraud,Theft and Fraud,41432,41434,2013,13827.76,3871.7728,10900,28
Employment Practices and Workplace Safety,Safe Environment,41436,41439,2013,231200.55,87856.209,236600,38
"Execution, Delivery and Process Management",Reporting and Disclosure,41441,41444,2013,73153.13,27798.1894,82600,38
"Execution, Delivery and Process Management",Customer Intake and Documentation,41443,41445,2013,25432.15,6103.716,25200,24
External Fraud,Theft and Fraud,41449,41451,2013,29700.74,6534.1628,28600,22
External Fraud,Systems Security,41450,41452,2013,897807.74,287298.4768,889900,32
"Clients, Products and Business Practices",Product Flaws,41452,41455,2013,72859.67,27686.6746,80100,38
"Execution, Delivery and Process Management",Trade Counterparties,41453,41456,2013,720680.22,281065.2858,711700,39
External Fraud,Theft and Fraud,41454,41457,2013,91614.04,21071.2292,94600,23
"Execution, Delivery and Process Management",Reporting and Disclosure,41455,41456,2013,237811.88,64209.2076,233200,27
"Execution, Delivery and Process Management",Vendors and Suppliers,41456,41457,2013,11687858.52,1986935.948,11698000,17
Internal Fraud,Theft and Fraud,41459,41460,2013,75647.76,17398.9848,70700,23
External Fraud,Theft and Fraud,41466,41469,2013,178015.5,46284.03,195400,26
"Execution, Delivery and Process Management",Customer/Client Account Management,41467,41470,2013,217533.38,50032.6774,214800,23
Internal Fraud,Unauthorized Activity,41467,41468,2013,164368.22,49310.466,171900,30
External Fraud,Theft and Fraud,41468,41470,2013,3986,1036.36,2200,26
External Fraud,Systems Security,41470,41473,2013,203647.28,63130.6568,211400,31
"Execution, Delivery and Process Management",Transaction/Data Management,41473,41476,2013,10893.53,3159.1237,17900,29
External Fraud,Theft and Fraud,41477,41480,2013,11650.87,3495.261,26600,30
External Fraud,Theft and Fraud,41481,41482,2013,158300.86,49073.2666,150900,31
Employment Practices and Workplace Safety,Safe Environment,41482,41483,2013,200039.68,74014.6816,202900,37
"Execution, Delivery and Process Management",Customer Intake and Documentation,41482,41484,2013,78578.91,18073.1493,78500,23
Employment Practices and Workplace Safety,Diversity and Discrimination,41496,41499,2013,603680.85,156957.021,603200,26
External Fraud,Theft and Fraud,41496,41497,2013,203358.91,71175.6185,210100,35
"Execution, Delivery and Process Management",Trade Counterparties,41512,41513,2013,163232.76,34278.8796,165100,21
External Fraud,Systems Security,41520,41523,2013,98438.36,19687.672,102000,20
"Clients, Products and Business Practices",Advisory Activities,41521,41524,2013,266501.42,79950.426,270000,30
External Fraud,Theft and Fraud,41522,41523,2013,271498.03,70589.4878,269600,26
External Fraud,Theft and Fraud,41522,41525,2013,213730.3,59844.484,209200,28
External Fraud,Theft and Fraud,41525,41528,2013,259391.88,70035.8076,259100,27
External Fraud,Systems Security,41532,41535,2013,373422.86,78418.8006,384600,21
"Execution, Delivery and Process Management",Reporting and Disclosure,41533,41534,2013,285400.85,105598.3145,295400,37
External Fraud,Theft and Fraud,41536,41539,2013,56108.06,17954.5792,58800,32
External Fraud,Theft and Fraud,41537,41538,2013,244942.68,83280.5112,256400,34
External Fraud,Theft and Fraud,41542,41545,2013,90963.65,24560.1855,106300,27
Internal Fraud,Theft and Fraud,41544,41546,2013,82756.78,24827.034,97900,30
External Fraud,Systems Security,41551,41553,2013,243101.65,58344.396,243100,24
External Fraud,Theft and Fraud,41551,41554,2013,21095.02,7383.257,27400,35
External Fraud,Theft and Fraud,41553,41555,2013,67345.59,15489.4857,78900,23
"Execution, Delivery and Process Management",Trade Counterparties,41557,41560,2013,122852.65,40541.3745,119700,33
"Execution, Delivery and Process Management",Reporting and Disclosure,41559,41562,2013,394591.93,153890.8527,386200,39
External Fraud,Theft and Fraud,41562,41565,2013,99838.03,26956.2681,101900,27
External Fraud,Systems Security,41566,41567,2013,226975.79,88520.5581,223900,39
"Execution, Delivery and Process Management",Reporting and Disclosure,41573,41574,2013,252185.49,52958.9529,255100,21
External Fraud,Theft and Fraud,41574,41576,2013,109901.91,29673.5157,108100,27
External Fraud,Theft and Fraud,41575,41578,2013,170794.48,52946.2888,177000,31
External Fraud,Theft and Fraud,41578,41580,2013,18734.42,6182.3586,36600,33
"Execution, Delivery and Process Management",Customer Intake and Documentation,41579,41580,2013,135080.96,47278.336,141100,35
External Fraud,Systems Security,41584,41586,2013,162310.79,38954.5896,156900,24
"Execution, Delivery and Process Management",Trade Counterparties,41586,41589,2013,918660.72,358277.6808,929900,39
"Execution, Delivery and Process Management",Reporting and Disclosure,41589,41590,2013,84870.68,28856.0312,103200,34
"Execution, Delivery and Process Management",Vendors and Suppliers,41593,41595,2013,952743.86,304878.0352,952800,32
